mapping,scheduling
[1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2][1, 16, 17, 15, 2, 6, 7, 19, 36, 43, 26, 9, 33, 13, 14, 29, 20, 27, 23, 28, 4, 8, 30, 22, 32, 25, 3, 11, 18, 21, 38, 37, 40, 45, 42, 46, 10, 12, 31, 39, 44, 24, 47, 51, 34, 48, 50, 5, 35, 41, 49]
[1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1][1, 4, 45, 16, 2, 17, 6, 7, 43, 14, 8, 13, 23, 9, 27, 30, 22, 20, 25, 15, 28, 29, 33, 3, 26, 5, 11, 21, 18, 37, 41, 35, 19, 32, 38, 46, 40, 10, 12, 24, 31, 39, 44, 34, 48, 36, 42, 49, 47, 50, 51]
[2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1][1, 16, 36, 8, 15, 22, 33, 10, 4, 25, 12, 17, 5, 13, 2, 24, 34, 6, 7, 27, 31, 19, 14, 23, 35, 43, 20, 30, 28, 26, 9, 29, 32, 45, 3, 41, 11, 44, 21, 18, 38, 40, 48, 42, 49, 46, 47, 51, 37, 50, 39]
[2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2][1, 3, 10, 36, 5, 15, 17, 12, 26, 8, 41, 33, 4, 30, 45, 25, 16, 22, 2, 24, 6, 7, 34, 14, 23, 35, 9, 29, 11, 18, 43, 20, 19, 38, 13, 21, 48, 28, 40, 27, 46, 37, 42, 49, 47, 32, 51, 31, 50, 39, 44]
[1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1][1, 13, 10, 5, 15, 12, 16, 17, 33, 36, 26, 4, 8, 3, 41, 25, 2, 22, 6, 24, 30, 27, 45, 34, 7, 9, 11, 31, 43, 19, 38, 18, 14, 42, 47, 28, 29, 49, 40, 23, 46, 35, 44, 32, 20, 21, 48, 50, 51, 37, 39]
[2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1][1, 2, 16, 13, 6, 27, 7, 5, 15, 26, 4, 10, 12, 31, 43, 9, 45, 24, 34, 14, 29, 20, 23, 28, 19, 32, 36, 17, 35, 33, 8, 22, 25, 30, 3, 41, 11, 38, 46, 21, 40, 48, 44, 37, 39, 18, 42, 47, 49, 50, 51]
[2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1][1, 8, 4, 13, 15, 26, 33, 36, 25, 30, 3, 16, 17, 10, 12, 45, 22, 5, 41, 2, 24, 6, 7, 34, 27, 31, 9, 43, 11, 18, 19, 38, 42, 47, 14, 28, 46, 20, 29, 40, 32, 21, 49, 48, 51, 50, 37, 39, 23, 35, 44]
[2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2][1, 4, 8, 3, 30, 17, 13, 36, 2, 6, 7, 27, 15, 14, 28, 5, 43, 23, 41, 20, 35, 32, 9, 45, 29, 33, 26, 25, 19, 11, 18, 38, 46, 21, 40, 37, 16, 22, 42, 10, 12, 31, 44, 39, 24, 49, 47, 51, 34, 48, 50]
[2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2][1, 3, 13, 16, 4, 2, 6, 45, 36, 7, 9, 11, 14, 10, 20, 12, 27, 28, 8, 31, 22, 43, 19, 18, 38, 42, 24, 15, 29, 34, 33, 40, 30, 26, 47, 25, 46, 32, 17, 21, 48, 50, 37, 51, 39, 23, 44, 5, 41, 49, 35]
[1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1][1, 17, 10, 36, 4, 12, 13, 15, 26, 5, 3, 2, 6, 24, 45, 7, 27, 33, 43, 9, 11, 14, 19, 20, 21, 8, 41, 23, 35, 34, 38, 18, 29, 30, 28, 32, 40, 25, 46, 37, 16, 42, 48, 47, 31, 50, 44, 51, 49, 22, 39]
